,x,y
0,190839.37820089,552835.310486713
1,190836.84984233,552832.784676306
2,190836.84984233,552832.784676306
3,190834.449945565,552834.549892089
4,190835.753329436,552837.979628538
5,190833.359596442,552839.748934138
6,190832.0581936,552840.716721773
7,190830.7567906,552841.684509358
8,190828.634924192,552843.25647777
9,190826.216425872,552840.59982352
10,190826.232928921,552845.035790665
11,190823.806554566,552842.367177777
12,190823.823828391,552846.817042601
13,190822.355404356,552847.90179895
14,190819.951973043,552849.68145139
15,190818.734852722,552850.578202396
16,190817.517732416,552851.474953389
17,190815.100982632,552853.235589754
18,190814.624997755,552853.582351242
19,190812.684232875,552854.996225369
20,190810.702321014,552856.45090801
21,190808.400298355,552858.06999481
22,190808.400298355,552858.06999481
23,190806.098275755,552859.689081484
24,190803.796253166,552861.308168121
25,190803.796253166,552861.308168121
26,190801.494230588,552862.927254736
27,190799.192208022,552864.546341317
28,190796.890185462,552866.165427864
29,190796.890185462,552866.165427864
30,190794.588162916,552867.784514374
31,190792.286140382,552869.40360085
32,190789.984117859,552871.022687304
33,190789.984117859,552871.022687304
34,190787.682095345,552872.641773723
35,190785.380072964,552874.260859977
36,190782.998660233,552875.979145248
37,190782.998660233,552875.979145248
38,190780.578408657,552877.725377376
39,190778.900102022,552878.932008948
40,190777.221795391,552880.138640506
41,190775.543488769,552881.345272044
42,190773.138147837,552883.139120288
43,190771.935476938,552884.036044123
44,190770.732806045,552884.932967951
45,190768.327464305,552886.726813681
46,190767.124792463,552887.623737465
47,190765.922120624,552888.52066124
48,190763.516778881,552890.314507834
49,190762.314107983,552891.211431605
50,190759.908766223,552893.005278637
51,190758.706095354,552893.902201895
52,190757.503424488,552894.799125622
53,190755.098082763,552896.592973038
54,190753.895411904,552897.489896744
55,190752.692740118,552898.386819459
56,190751.490068328,552899.283742157
57,190749.084726633,552901.077589493
58,190747.882055784,552901.974513146
59,190746.679384942,552902.8714368
60,190744.2740414,552904.66528209
61,190743.071371518,552905.562205722
62,190741.868701634,552906.459129351
63,190740.666029872,552907.356051971
64,190739.463358117,552908.252974587
65,190738.260688223,552909.149899141
66,190734.6006629,552907.584202098
67,190733.551623233,552908.402273483
68,190732.363071638,552909.317566792
69,190731.174520044,552910.2328601
70,190729.985967982,552911.148153384
71,190728.797415917,552912.06344668
72,190727.608864331,552912.978739946
73,190726.420312754,552913.894033224
74,190725.231761151,552914.809327435
75,190724.043209555,552915.724621627
76,190722.854657978,552916.639914874
77,190721.001966555,552918.066653766
78,190721.001966555,552918.066653766
79,190718.760664475,552919.774036011
80,190718.760664475,552919.774036011
81,190716.519362372,552921.481419157
82,190714.27806028,552923.188802286
83,190714.27806028,552923.188802286
84,190712.036758198,552924.896185353
85,190712.036758198,552924.896185353
86,190709.795456121,552926.603568401
87,190709.795456121,552926.603568401
88,190707.554154057,552928.310951432
89,190707.554154057,552928.310951432
90,190705.312851997,552930.018334401
91,190703.071549951,552931.72571735
92,190703.071549951,552931.72571735
93,190700.830247908,552933.433100275
94,190698.588945872,552935.140483154
95,190698.588945872,552935.140483154
96,190696.347643852,552936.847865999
97,190694.106341836,552938.555248819
98,190693.738567125,552938.529953244
99,190691.86503983,552940.26263159
100,190689.670767158,552941.915596728
101,190688.869190973,552942.519429843
102,190686.458655691,552944.291196174
103,190684.048120412,552946.062962473
104,190681.821808052,552947.713738839
105,190680.604718225,552948.622992279
106,190677.507613198,552950.917774647
107,190675.100078738,552952.697309639
108,190675.100078738,552952.697309639
109,190672.692545302,552954.476841762
110,190670.285011862,552956.256374795
111,190667.877476973,552958.035908717
112,190665.469944269,552959.815441431
113,190663.062411931,552961.594974123
114,190660.654875398,552963.374508401
115,190658.247342376,552965.154040751
116,190656.359065604,552966.52625634
117,190652.583615518,552969.234637637
118,190650.155249711,552970.976667682
119,190647.726882013,552972.718697184
120,190645.298516234,552974.46072669
121,190642.87015051,552976.202754255
122,190641.893308677,552976.906821592
123,190639.493331778,552978.695478348
124,190637.093354847,552980.484135084
125,190634.693377931,552982.272791767
126,190631.785069661,552988.66010311
127,190629.361001338,552990.392485566
128,190626.936933027,552992.124867996
129,190624.512864724,552993.85725038
130,190622.088796454,552995.589631764
131,190619.695716553,552997.367274316
132,190617.30706258,552999.157432907
133,190615.04006288,553000.889313035
134,190612.366427236,553002.888819649
135,190609.94585576,553004.694886259
136,190607.55431557,553006.489801637
137,190605.236499938,553008.227460779
138,190601.646534615,553010.91073359
139,190599.276193831,553012.703439326
140,190596.880261698,553014.488276033
141,190593.700362822,553016.871954476
142,190592.4741011,553017.798486742
143,190588.846939151,553020.458085319
144,190586.477751769,553022.264997891
145,190585.244411328,553023.173917706
146,190583.62898361,553024.374165637
147,190578.927409217,553027.919916075
148,190576.551105413,553029.695883698
149,190575.337729514,553030.597017295
150,190573.450039228,553031.999029895
151,190571.08078668,553033.744089224
152,190568.68793439,553035.519875967
153,190566.233354936,553037.330834326
154,190563.521262242,553039.380413471
155,190561.123897324,553041.200872247
156,190558.706899831,553043.066052178
157,190556.3514483,553044.848767949
158,190553.742191648,553046.859090675
159,190551.681688254,553048.44662229
160,190549.796005355,553049.899459101
161,190547.837221509,553051.408619211
162,190544.263286368,553050.058991528
163,190541.784283104,553051.911141316
164,190539.346681126,553053.73265445
165,190538.034316778,553054.710811215
166,190536.852598271,553059.783113999
167,190534.374588455,553057.465918549
168,190532.058769563,553059.164435994
169,190529.175932818,553061.356484432
170,190528.051045867,553062.179571791
171,190525.7043999,553063.876047149
172,190523.357753943,553065.572522479
173,190521.011108,553067.268997774
174,190520.667896332,553071.659135429
175,190518.312086489,553073.341555168
176,190516.317816127,553070.661948252
177,190513.971170197,553072.358423445
178,190511.624524279,553074.0548986
179,190511.244657004,553078.388814198
180,190508.888847212,553080.071233801
181,190506.533037429,553081.753653379
182,190504.153842283,553082.009387902
183,190501.999609556,553083.635805685
184,190501.809942785,553083.998202769
185,190499.465608147,553086.800911879
186,190497.091193194,553088.302469966
187,190493.80900801,553088.813762045
188,190493.80900801,553088.813762045
189,190492.398178966,553091.848170073
190,190490.04236926,553093.5305894
191,190487.686559565,553095.213008694
192,190485.330749885,553096.895427955
193,190482.974940209,553098.577847174
194,190480.619130546,553100.26026636
195,190478.263320899,553101.942685514
196,190475.907511258,553103.625104633
197,190473.55170163,553105.30752372
198,190471.195892014,553106.989942765
199,190468.7301723,553108.830767409
200,190466.332466419,553110.616468481
201,190464.776440528,553111.775305635
202,190461.177569798,553114.455273019
203,190459.974659246,553115.351043141
204,190456.37578823,553118.031011157
205,190453.880255373,553119.087795208
206,190451.03171355,553122.010547232
207,190448.875393359,553123.616323376
208,190445.261050854,553126.297591671
209,190442.851491448,553128.085102676
210,190440.441931671,553129.872614473
211,190438.024399393,553131.660047436
212,190434.394876544,553134.331503152
213,190431.978105929,553136.109281878
214,190429.561336536,553137.887059521
215,190425.936180043,553140.553727647
216,190424.186967234,553141.840449511
217,190420.515307509,553144.565476368
218,190418.38104733,553146.152729604
219,190415.423980606,553148.344083366
220,190413.020711745,553150.121587213
221,190410.617440978,553151.899091472
222,190407.453658616,553154.239083997
223,190405.04021137,553156.021995828
224,190401.428381097,553158.69765256
225,190399.018401584,553160.48524912
226,190396.608422312,553162.272846075
227,190393.707830867,553164.423437065
228,190392.010391508,553165.681591042
229,190389.615099995,553167.456457665
230,190387.219813112,553169.231322276
231,190384.824524329,553171.006187279
232,190381.490199913,553173.479376386
233,190379.206499726,553175.173949774
234,190377.953936201,553176.103389098
235,190376.701372672,553177.032828426
236,190373.616828021,553179.321649775
237,190371.274801628,553181.067746375
238,190368.932775248,553182.813842946
239,190366.590748873,553184.559939492
240,190366.590748873,553184.559939492
241,190364.248722514,553186.306035987
242,190361.906696164,553188.052132448
243,190359.56466982,553189.79822888
244,190357.22264349,553191.544325275
245,190357.22264349,553191.544325275
246,190354.880617163,553193.290421635
247,190352.53859085,553195.036517958
248,190350.196564547,553196.782614235
249,190347.56074928,553196.955703355
250,190346.900063208,553197.560520614
251,190344.492171148,553199.374612223
252,190343.170485701,553202.020902876
253,190340.828459434,553203.766999021
254,190338.48643318,553205.513095127
255,190336.667268387,553206.400689914
256,190334.209292448,553206.741782699
257,190331.460354478,553210.751383236
258,190331.460354478,553210.751383236
259,190329.118328264,553212.49747919
260,190326.77630206,553214.243575121
261,190324.434275865,553215.989671014
262,190319.750223504,553219.48186269
263,190317.40819734,553221.227958473
264,190315.066171183,553222.974054216
265,190312.47648595,553224.91601945
266,190310.065373398,553226.725183855
267,190305.887451729,553225.910433265
268,190303.381442444,553231.692567942
269,190299.741879679,553232.026026516
270,190297.968546504,553235.712172042
271,190295.096798451,553237.84472834
272,190291.406420243,553240.585188893
273,190286.92634892,553243.91134677
274,190283.310846537,553246.594010034
275,190279.695351839,553249.276671459
276,190276.079853235,553251.959338431
277,190271.217644076,553255.565676926
278,190267.601471756,553258.247466199
279,190262.781663522,553261.823756902
280,190257.961712874,553265.401677265
281,190254.346748219,553268.085118824
282,190248.321809513,553272.55751962
283,190244.135972133,553275.66496593
284,190238.110353106,553280.125846247
285,190233.281912399,553283.699354112
286,190226.112623662,553285.087240662
287,190221.930874562,553292.085916711
288,190214.112709375,553293.975947953
289,190209.900132503,553301.023104772
290,190202.618406007,553306.418628794
291,190194.902072943,553308.215081841
292,190190.616162778,553315.298151612
293,190183.101379062,553320.855781678
294,190175.910407756,553326.173972442
295,190168.718257242,553331.492465015
296,190159.207461895,553334.635997764
297,190151.935122962,553343.895917392
298,190144.589730167,553349.31714305
299,190136.295970827,553355.447755831
